,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
63,63,-15.595235583854246,1.963133071214429e-06,1.1001866509374736e-05,131,5520.0,4536,1168,504,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.028642474992395837
64,64,-15.595235609754324,2.5900078526319703e-08,1.0975966430848416e-05,37,5696.0,4608,1168,528,"d_f_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",0.0022532417447240958
65,65,-15.595235686884452,7.713012806220831e-08,1.0898836302786208e-05,47,5872.0,4680,1200,528,"d_f_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.0011090432769857443
66,66,-15.595235724660512,3.777605961374775e-08,1.086106024317246e-05,49,6016.0,4752,1232,528,"d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-4.297991216013781e-05
67,67,-15.59523584345825,1.1879773786915848e-07,1.0742262505303302e-05,52,6160.0,4824,1232,528,"d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.0037019250104923657
68,68,-15.595235922527099,7.906884924580027e-08,1.0663193656057501e-05,54,6304.0,4896,1232,528,"d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.0017473809725772592
69,69,-15.595235995008611,7.24815123476219e-08,1.059071214370988e-05,62,6512.0,4968,1264,552,"d_f_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",0.003413199525613667
70,70,-15.595236028864244,3.385563296376404e-08,1.0556856510746115e-05,48,6720.0,5040,1296,576,"d_f_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",-0.0004887526000294373
71,71,-15.595236071037894,4.2173649461574314e-08,1.0514682861284541e-05,48,6896.0,5112,1296,576,"d_f_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",0.0019598728661860743
72,72,-15.595236395478658,3.244407640323743e-07,1.0190242097252167e-05,147,7008.0,5184,1328,600,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.015475604037864436
73,73,-15.59523714656274,7.510840820401654e-07,9.439158015212001e-06,175,7056.0,5256,1344,600,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.016973695851663473
74,74,-15.59523718775611,4.1193370492464965e-08,9.397964644719536e-06,53,7232.0,5328,1344,624,"d_f_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",0.000151507459525839
75,75,-15.59523727892135,9.116523891350425e-08,9.306799405806032e-06,135,7408.0,5400,1376,648,"d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.0011014051161469599
76,76,-15.595237325589345,4.666799569008617e-08,9.260131410115946e-06,58,7584.0,5472,1408,648,"d_f_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",0.00028439007985899955
77,77,-15.595242868324858,5.542735513230923e-06,3.717395896885023e-06,190,7632.0,5544,1408,648,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.1634376588139432
78,78,-15.595242940229936,7.190507744780916e-08,3.6454908194372138e-06,101,7808.0,5616,1408,648,"d_f_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",0.0006735313628462606
79,79,-15.595243166724178,2.264942420282523e-07,3.4189965774089615e-06,185,7984.0,5688,1440,672,"d_f_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",0.004078584523210035
80,80,-15.595246036249046,2.8695248683874297e-06,5.494717090215318e-07,210,8032.0,5760,1440,672,"d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.1284804907213394
81,81,-15.595246077836242,4.158719590918736e-08,5.078845131123444e-07,58,8208.0,5832,1472,696,"d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",-5.940894312986095e-05
82,82,-15.595246238765904,1.6092966248493212e-07,3.4695485062741227e-07,162,8256.0,5904,1504,696,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.007748855375823144
83,83,-15.595246253959608,1.5193704072657965e-08,3.317611465547543e-07,129,8304.0,5976,1504,696,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.00024747441090914067
84,84,-15.595246258181353,4.221744731580657e-09,3.2753940182317365e-07,78,8480.0,6048,1536,720,"d_f_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",0.0008007478600909724
85,85,-15.595246261422837,3.2414835260397012e-09,3.2429791829713395e-07,52,8528.0,6120,1552,720,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.001304008633679189
86,86,-15.595246274398013,1.2975176488794204e-08,3.1132274180833974e-07,59,8576.0,6192,1552,720,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019548122513635747
87,87,-15.595246276565303,2.1672903471881e-09,3.0915545146115164e-07,51,8656.0,6264,1568,720,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.0018578526265720446
88,88,-15.595246288456565,1.1891261308960566e-08,2.972641901521911e-07,71,8704.0,6336,1568,720,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019281170977710198
89,89,-15.595246473330961,1.8487439668035677e-07,1.1238979347183431e-07,156,8752.0,6408,1568,744,"d_f_exc_[10, 11]_[12, 13]","[[10, 11], [12, 13]]",-0.03636935857689375
90,90,-15.595246478547104,5.216142184849559e-09,1.0717365128698475e-07,123,8896.0,6480,1600,768,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0030616325559385277
91,91,-15.595246489091103,1.0543999451329e-08,9.662965183565575e-08,59,9072.0,6552,1632,792,"d_f_exc_[0, 5]_[2, 13]","[[0, 5], [2, 13]]",0.0035611404554431775
92,92,-15.595246501959357,1.2868254017917025e-08,8.376139781773873e-08,73,9280.0,6624,1664,816,"d_f_exc_[0, 13]_[11, 12]","[[0, 13], [11, 12]]",0.004473760290471402
93,93,-15.595246510997754,9.038396697746975e-09,7.472300111999175e-08,87,9360.0,6696,1696,816,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0002443880884346816
94,94,-15.595246517980243,6.982489253459789e-09,6.774051186653196e-08,76,9472.0,6768,1728,816,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0007643322068314453
95,95,-15.595246529965483,1.1985239467549036e-08,5.5755272398982925e-08,69,9520.0,6840,1760,816,"d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.0035181179057840696
96,96,-15.595246533010151,3.0446685173046717e-09,5.271060388167825e-08,59,9696.0,6912,1792,816,"d_f_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.0018996955383329438
97,97,-15.595246536152878,3.1427269675532443e-09,4.956787691412501e-08,77,9872.0,6984,1824,840,"d_f_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",0.0026719526856321175
98,98,-15.595246543722341,7.56946327840069e-09,4.199841363572432e-08,78,10048.0,7056,1856,840,"d_f_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.006277392755513374
99,99,-15.595246548887145,5.164803695834053e-09,3.6833609939890266e-08,67,10224.0,7128,1888,840,"d_f_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.004109933500780356
100,100,-15.595246555073258,6.186112955219869e-09,3.06474969846704e-08,97,10368.0,7200,1920,840,"d_f_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-0.0047006934621601415
