,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
85,85,-75.02328782163566,7.715513561379339e-08,3.4064440654901773e-06,84,1015.0,2571,201,276,"d_q_exc_[3, 12]_[10, 13]","[[3, 12], [10, 13]]",-0.080217466989361
86,86,-75.02328791779667,9.616100271614414e-08,3.310283062774033e-06,138,1028.0,2604,206,282,"d_q_exc_[6, 11]_[12, 13]","[[6, 11], [12, 13]]",0.010249169381717509
87,87,-75.02328860034628,6.82549611497052e-07,2.6277334512769812e-06,220,1041.0,2637,206,282,"d_q_exc_[2, 7]_[10, 11]","[[2, 7], [10, 11]]",0.0744264260778906
88,88,-75.02328880272715,2.023808747253497e-07,2.4253525765516315e-06,225,1054.0,2670,206,282,"d_q_exc_[2, 7]_[6, 11]","[[2, 7], [6, 11]]",0.0038912714059634156
89,89,-75.0232888090954,6.368253480104613e-09,2.418984323071527e-06,73,1067.0,2703,212,288,"d_q_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",2.2946098449407714e-05
90,90,-75.02328981140707,1.00231166300091e-06,1.416672660070617e-06,315,1080.0,2736,214,294,"d_q_exc_[4, 6]_[10, 12]","[[4, 6], [10, 12]]",0.009694211508302148
91,91,-75.0232898212801,9.873033945950738e-09,1.4067996261246662e-06,55,1093.0,2769,214,294,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.00048099499059090525
92,92,-75.02328983737564,1.609554090009624e-08,1.39070408522457e-06,58,1106.0,2802,218,300,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.000562219549558683
93,93,-75.02328984878223,1.1406584121687047e-08,1.379297501102883e-06,60,1119.0,2835,223,300,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0007262256690885422
94,94,-75.02328985418477,5.402540637078346e-09,1.3738949604658046e-06,52,1132.0,2868,234,300,"d_q_exc_[0, 7]_[10, 11]","[[0, 7], [10, 11]]",-0.0009054075505976663
95,95,-75.02329037106529,5.168805188304759e-07,8.570144416353287e-07,231,1145.0,2901,234,306,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",0.006124376730512218
96,96,-75.02329038808325,1.701796747966e-08,8.399964741556687e-07,57,1158.0,2934,234,312,"d_q_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.0007643013777170666
97,97,-75.02329039665432,8.57106385865336e-09,8.314254102970153e-07,56,1171.0,2967,245,318,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.000371291814546144
98,98,-75.02329040031324,3.6589256069419207e-09,8.277664846900734e-07,57,1184.0,3000,256,324,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",6.947142617497865e-05
99,99,-75.02329040443428,4.1210341805708595e-09,8.236454505095026e-07,55,1197.0,3033,256,324,"d_q_exc_[1, 6]_[4, 13]","[[1, 6], [4, 13]]",0.0003804471544104359
100,100,-75.0232904180319,1.3597627912531607e-08,8.100478225969709e-07,62,1210.0,3066,267,324,"d_q_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",0.00020976594388765998
101,101,-75.02329064386267,2.2583076031423843e-07,5.842170622827325e-07,195,1223.0,3099,267,324,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.018648057950100314
102,102,-75.0232906632751,1.9412439655752678e-08,5.648046226269798e-07,133,1236.0,3132,278,324,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0003976138421230609
103,103,-75.02329066489402,1.6189147800105275e-09,5.631857078469693e-07,75,1249.0,3165,289,324,"d_q_exc_[0, 3]_[6, 11]","[[0, 3], [6, 11]]",0.0003002376995110476
104,104,-75.02329067357442,8.680402174832125e-09,5.545053056721372e-07,58,1262.0,3198,300,330,"d_q_exc_[0, 6]_[4, 12]","[[0, 6], [4, 12]]",-0.0008434579003227399
105,105,-75.02329067993341,6.358988002830301e-09,5.481463176693069e-07,61,1275.0,3231,311,336,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",-0.0001416408323038993
106,106,-75.02329074846674,6.853332479295204e-08,4.796129928763548e-07,214,1288.0,3264,311,336,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.00292156926985307
107,107,-75.02329076589002,1.7423289477846993e-08,4.6218970339850785e-07,66,1301.0,3297,311,336,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.0018609146969873706
108,108,-75.02329076727132,1.3812950783176348e-09,4.608084083201902e-07,81,1314.0,3330,311,336,"d_q_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",-0.00021464394576820245
109,109,-75.02329076807689,8.05570721240656e-10,4.6000283759894955e-07,62,1327.0,3363,311,342,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.0003625869608024503
110,110,-75.02329107371594,3.056390482925053e-07,1.5436378930644423e-07,231,1340.0,3396,311,342,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.06516168599224877
111,111,-75.02329107718808,3.4721381325653056e-09,1.5089165117387893e-07,53,1353.0,3429,311,348,"d_q_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",-0.0005026766232429442
112,112,-75.02329108209923,4.911157702736091e-09,1.4598049347114284e-07,79,1366.0,3462,322,348,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.000790128786832392
113,113,-75.02329109186576,9.766523589860299e-09,1.3621396988128254e-07,79,1379.0,3495,322,354,"d_q_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",0.007238573946817747
114,114,-75.023291122579,3.071323817493976e-08,1.0550073170634278e-07,277,1392.0,3528,322,354,"d_q_exc_[4, 5]_[6, 11]","[[4, 5], [6, 11]]",0.00536587934743
115,115,-75.02329117125447,4.867547431786079e-08,5.682525738848199e-08,226,1405.0,3561,322,354,"d_q_exc_[2, 3]_[6, 11]","[[2, 3], [6, 11]]",-0.004777252996539342
116,116,-75.02329117948553,8.231054948737437e-09,4.859420243974455e-08,159,1418.0,3594,333,360,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0008324033464864305
117,117,-75.02329118151073,2.0252031163181528e-09,4.6568999323426397e-08,83,1431.0,3627,344,366,"d_q_exc_[0, 5]_[7, 12]","[[0, 5], [7, 12]]",-0.0002451984191334632
118,118,-75.02329118244836,9.376321941090282e-10,4.563136712931737e-08,95,1444.0,3660,355,366,"d_q_exc_[0, 5]_[6, 13]","[[0, 5], [6, 13]]",-7.597108019451361e-05
119,119,-75.02329118727368,4.825324140256271e-09,4.08060429890611e-08,100,1457.0,3693,366,367,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.0014694760830384174
120,120,-75.02329118872635,1.4526619906973792e-09,3.935338099836372e-08,73,1460.0,3700,369,371,s_q_exc_0_10,"[[0], [10]]",-0.0008099263279337938
121,121,-75.02329119269743,3.971081241616048e-09,3.538229975674767e-08,112,1473.0,3733,380,382,"d_q_exc_[0, 12]_[4, 10]","[[0, 12], [4, 10]]",0.0014117441965920644
122,122,-75.02329121263594,1.993851128645474e-08,1.544378847029293e-08,166,1476.0,3740,380,382,s_q_exc_2_10,"[[2], [10]]",0.009757986281558039
123,123,-75.02329121663931,4.003368303528987e-09,1.1440420166763943e-08,97,1489.0,3773,380,382,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.0027684876516502815
124,124,-75.02329121808413,1.4448175988945877e-09,9.995602567869355e-09,113,1502.0,3806,380,386,"d_q_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",-0.0017915085124828236
125,125,-75.02329121990186,1.8177388483309187e-09,8.177863719538436e-09,85,1515.0,3839,380,386,"d_q_exc_[1, 6]_[4, 5]","[[1, 6], [4, 5]]",-0.0019555073059683284
126,126,-75.0232912238173,3.915431534551317e-09,4.262432184987119e-09,99,1528.0,3872,380,386,"d_q_exc_[1, 7]_[5, 13]","[[1, 7], [5, 13]]",0.00231275492633208
127,127,-75.02329122437546,5.581597406489891e-10,3.7042724443381303e-09,78,1531.0,3879,380,386,s_q_exc_6_10,"[[6], [10]]",0.0009278451414282031
128,128,-75.02329122479365,4.1819703255896457e-10,3.2860754117791657e-09,80,1544.0,3912,380,386,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.00039124963568377215
129,129,-75.02329122501276,2.191029579989845e-10,3.0669724537801812e-09,68,1557.0,3945,380,386,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",3.65071138372614e-05
130,130,-75.02329122511783,1.0507505976420362e-10,2.9618973940159776e-09,65,1570.0,3978,380,386,"d_q_exc_[4, 7]_[10, 13]","[[4, 7], [10, 13]]",-0.000366546564397718
131,131,-75.02329122517534,5.751132903242251e-11,2.904386064983555e-09,50,1583.0,4011,380,386,"d_q_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",-0.000142887756860816
132,132,-75.02329122573005,5.54706502953195e-10,2.34967956203036e-09,75,1596.0,4044,380,392,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.0008325378521553447
133,133,-75.02329122585263,1.2258283277333248e-10,2.2270967292570276e-09,58,1599.0,4051,380,392,s_q_exc_3_11,"[[3], [11]]",-8.108637207482091e-06
