,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
61,61,-75.02328526222296,4.795857790895752e-07,5.965856715306472e-06,81,5216.0,3896,1132,654,"d_f_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",-0.04360077754540498
62,62,-75.0232857171783,4.549553409560758e-07,5.5109013743503965e-06,101,5360.0,3968,1132,678,"d_f_exc_[3, 12]_[10, 13]","[[3, 12], [10, 13]]",0.24940646275652115
63,63,-75.0232857479263,3.0747997925573145e-08,5.480153376424823e-06,39,5536.0,4040,1164,678,"d_f_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-0.0002038630751720723
64,64,-75.02328578194557,3.4019279837593785e-08,5.44613409658723e-06,60,5616.0,4112,1164,678,"d_f_exc_[1, 2]_[7, 10]","[[1, 2], [7, 10]]",0.00015707857061482376
65,65,-75.02328579669636,1.4750781929251389e-08,5.431383314657978e-06,36,5792.0,4184,1196,702,"d_f_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",-0.0001553304909168231
66,66,-75.02328582025577,2.355940864617878e-08,5.407823906011799e-06,47,6000.0,4256,1228,726,"d_f_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",8.480746652816362e-06
67,67,-75.02328612730014,3.0704437392614636e-07,5.100779532085653e-06,83,6144.0,4328,1260,750,"d_f_exc_[4, 13]_[8, 9]","[[4, 13], [8, 9]]",0.007375686008612272
68,68,-75.02328614510955,1.7809412611313746e-08,5.082970119474339e-06,65,6320.0,4400,1292,774,"d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.0006174856386909769
69,69,-75.02328616133268,1.6223125953729323e-08,5.06674699352061e-06,56,6496.0,4472,1308,798,"d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",-0.0002256012270277265
70,70,-75.02328640070611,2.3937343485158635e-07,4.827373558669024e-06,84,6672.0,4544,1340,822,"d_f_exc_[2, 13]_[11, 12]","[[2, 13], [11, 12]]",0.25214659666722194
71,71,-75.0232864164383,1.573218355588324e-08,4.81164137511314e-06,60,6816.0,4616,1364,822,"d_f_exc_[0, 3]_[6, 11]","[[0, 3], [6, 11]]",-0.000815928959003158
72,72,-75.02328642286639,6.428095389310329e-09,4.80521327972383e-06,27,6960.0,4688,1396,822,"d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",9.474161897553062e-06
73,73,-75.02328644930738,2.6440986289344437e-08,4.778772293434486e-06,74,7008.0,4760,1396,846,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.000855460490431337
74,74,-75.0232864541671,4.859728619521775e-09,4.773912564814964e-06,57,7184.0,4832,1428,846,"d_f_exc_[0, 4]_[6, 12]","[[0, 4], [6, 12]]",0.0006933367767303482
75,75,-75.02328645875885,4.5917403213024954e-09,4.769320824493661e-06,41,7360.0,4904,1460,870,"d_f_exc_[1, 5]_[7, 13]","[[1, 5], [7, 13]]",0.001063666530664958
76,76,-75.02328646428501,5.526160862245888e-09,4.7637946636314155e-06,45,7536.0,4976,1492,894,"d_f_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",-3.797888742944245e-05
77,77,-75.02328646975799,5.472983843901602e-09,4.758321679787514e-06,90,7744.0,5048,1524,918,"d_f_exc_[0, 13]_[11, 12]","[[0, 13], [11, 12]]",1.9371749426990676e-07
78,78,-75.02328654717573,7.741773799807561e-08,4.680903941789438e-06,81,7888.0,5120,1556,942,"d_f_exc_[3, 4]_[6, 13]","[[3, 4], [6, 13]]",-0.2474167290878515
79,79,-75.02328655255587,5.380144330047187e-09,4.675523797459391e-06,48,8032.0,5192,1588,942,"d_f_exc_[1, 4]_[7, 12]","[[1, 4], [7, 12]]",-6.480556715094334e-05
80,80,-75.02328655790235,5.346478815226874e-09,4.670177318644164e-06,52,8240.0,5264,1620,966,"d_f_exc_[0, 5]_[6, 13]","[[0, 5], [6, 13]]",-0.00020808761022841712
81,81,-75.02328667654372,1.1864136695294292e-07,4.551535951691221e-06,113,8288.0,5336,1620,990,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.20211341948721814
82,82,-75.02328667999771,3.4539908710939926e-09,4.548081960820127e-06,56,8400.0,5408,1652,990,"d_f_exc_[1, 3]_[7, 11]","[[1, 3], [7, 11]]",-0.000785157621440728
83,83,-75.02328668317655,3.1788403020982514e-09,4.544903120518029e-06,49,8512.0,5480,1668,990,"d_f_exc_[0, 2]_[6, 10]","[[0, 2], [6, 10]]",-0.00033858026438939785
84,84,-75.0232871529173,4.6974075473826815e-07,4.075162365779761e-06,94,8560.0,5552,1668,990,"d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.009302049122019753
85,85,-75.02328715604891,3.13160342102492e-09,4.072030762358736e-06,57,8736.0,5624,1700,990,"d_f_exc_[0, 7]_[5, 12]","[[0, 7], [5, 12]]",-7.012212034021669e-05
86,86,-75.02328715873202,2.6831088462131447e-09,4.069347653512523e-06,51,8912.0,5696,1732,1014,"d_f_exc_[1, 6]_[4, 13]","[[1, 6], [4, 13]]",-0.0003568004914972818
